who_id,spatial_type,country_code,region,sex,prevalence,ci_low,ci_high,year
8510578,Country,MDA,Europe,Both sexes,12.357495,8.810215,16.510502,2014
8510638,Country,PNG,Western Pacific,Female,17.24095,5.8778753,34.962013,2016
8510846,Country,BRA,Americas,Female,38.214035,30.119991,46.855118,2011
8511114,Country,CAN,Americas,Both sexes,30.073538,23.74291,36.775219,2008
8511325,Country,KGZ,Europe,Female,21.803701,8.5249949,40.014954,2021
8513062,Region,AFR,,Female,20.032988,14.74159,27.146902,2021
8513574,Country,ISL,Europe,Female,30.436552,9.5723295,59.023457,2014
8514271,Country,ARM,Europe,Both sexes,23.989573,15.313167,34.270008,2008
8515227,Country,LVA,Europe,Both sexes,19.684914,13.367939,27.018684,2004
8515410,Country,HND,Americas,Female,33.00124,10.367296,63.76115,2003
8516185,Country,TLS,South-East Asia,Both sexes,21.01857,12.354192,31.336657,2011
8516457,Global,GLOBAL,,Both sexes,26.724773,25.201872,28.233698,2011
8517107,Country,GIN,Africa,Female,20.917854,5.6608858,45.730621,2006
8517839,Country,MLI,Africa,Female,34.013618,9.2445946,66.557281,2021
8518630,Country,KAZ,Europe,Male,21.833809,12.274924,33.930088,2009
8518860,Country,IND,South-East Asia,Female,35.74662,27.36581,44.290371,2008
8519046,Country,FRA,Europe,Both sexes,25.221416,19.528223,31.456697,2019
8521033,Country,HRV,Europe,Male,26.179371,17.982405,35.652454,2020
8521845,Country,ECU,Americas,Female,27.650261,15.000788,43.24873,2021
8523490,Country,NLD,Europe,Both sexes,10.138746,7.7331781,12.888325,2020
8525007,Country,FJI,Western Pacific,Male,14.128262,7.0312815,23.68959,2007
8525668,Country,DMA,Americas,Female,39.380898,12.674183,70.658096,2022
8525675,Global,GLOBAL,,Both sexes,24.693771,22.895945,26.642509,2005
8526145,Country,AZE,Europe,Male,19.697779,8.4289722,35.37281,2005
8526938,Country,SOM,Eastern Mediterranean,Female,23.165737,7.2597871,47.204338,2012
8527345,Country,MAR,Eastern Mediterranean,Both sexes,23.598238,16.881592,31.245813,2017
8529640,Country,MKD,Europe,Both sexes,23.43656,13.688811,34.788521,2011
8530437,Country,ARG,Americas,Male,33.089931,21.076401,46.413708,2005
8530904,Country,NAM,Africa,Male,31.006531,19.338949,44.652115,2001
8531199,Country,CHE,Europe,Female,24.741835,13.867436,37.875298,2011
8531256,Country,GAB,Africa,Female,27.109936,8.9402027,53.433567,2007
8531926,Country,HUN,Europe,Both sexes,25.802723,20.832195,31.109396,2016
8532546,Country,YEM,Eastern Mediterranean,Male,23.986929,6.7134676,51.865261,2022
8532595,Country,VEN,Americas,Female,52.751141,32.332081,71.970436,2022
8532659,Country,MKD,Europe,Both sexes,24.223516,14.106305,36.113701,2015
8533718,Country,GMB,Africa,Male,16.972725,6.0354528,33.40797,2021
8534809,Country,COL,Americas,Female,31.661459,9.6124344,63.041409,2003
8535803,Country,IRL,Europe,Both sexes,27.121168,23.074574,31.366842,2015
8535805,Country,COK,Western Pacific,Female,33.134007,21.090242,46.577724,2022
8536406,Country,LBR,Africa,Male,14.309214,8.4837694,21.950157,2020
8536923,Country,HUN,Europe,Female,21.091572,12.753618,31.32205,2001
8538382,Country,AFG,Eastern Mediterranean,Both sexes,22.551735,9.7933025,38.82719,2001
8539488,Country,JOR,Eastern Mediterranean,Both sexes,28.006721,21.540073,34.834324,2016
8539698,Country,BEN,Africa,Male,15.027966,8.109374,24.116127,2017
8539966,Country,NER,Africa,Both sexes,16.581678,11.161198,23.05397,2020
8542065,Country,PLW,Western Pacific,Female,38.387524,24.436268,53.558361,2008
8543128,Country,GTM,Americas,Male,26.230324,14.239998,41.461929,2020
8543807,Country,BOL,Americas,Male,18.022684,10.538258,27.561388,2018
8544123,Country,MDA,Europe,Both sexes,13.8456,8.6871691,20.553928,2008
8545663,Region,WPR,,Both sexes,21.45704,18.51167,24.6149,2006
8546446,Country,SYC,Africa,Both sexes,21.002544,15.177252,27.537558,2013
8546718,Country,SVK,Europe,Female,24.912889,17.543821,33.345558,2016
8547656,Country,ISR,Europe,Female,33.559792,12.319629,60.987186,2011
8549905,Country,KOR,Western Pacific,Both sexes,28.139282,20.954721,36.085354,2001
8550337,Country,ERI,Africa,Male,7.9568453,3.8206909,13.870099,2007
8552324,Country,TON,Western Pacific,Male,24.070675,16.512068,32.616589,2010
8553640,Country,HUN,Europe,Male,20.611561,15.333551,26.627541,2011
8554325,Country,BWA,Africa,Female,28.141916,16.502142,42.183926,2017
8554647,Country,ARM,Europe,Male,26.073652,15.740784,38.248058,2017
8555464,Country,ERI,Africa,Female,17.540039,8.3413277,30.03104,2005
8555610,Country,MUS,Africa,Female,28.611124,17.902517,41.139446,2004
